x,y,z
5.00193e-07,-6.20054e-07,1.07526e-06
9.91558e-07,9.87955e-07,1.48774e-07
-5.63659e-07,-8.24965e-07,7.06067e-07
6.3688e-07,1.45062e-06,2.1848e-07
-1.30287e-07,-2.09143e-07,1.28022e-06
7.3644e-07,-1.01153e-06,2.6503e-07
-6.5291e-07,-9.22432e-07,2.2853e-07
-1.68102e-07,-1.18364e-06,4.68682e-07
3.63189e-07,-5.97643e-07,2.00055e-07
7.10029e-08,-1.18026e-06,3.43002e-07
-1.36394e-07,-3.72663e-07,8.3475e-07
-3.24868e-07,-8.43319e-07,3.94057e-07
5.3649e-07,-8.08045e-07,2.73848e-07
3.78331e-07,-6.6817e-07,5.41993e-07
-4.52975e-07,-2.47813e-07,1.15417e-06
-5.05625e-07,-9.86515e-07,2.90456e-07
-8.63737e-07,-3.61156e-07,1.29619e-06
8.94811e-07,1.32456e-07,2.83592e-07
-1.22252e-06,-1.0037e-06,-5.6315e-08
-1.87857e-08,9.40667e-07,4.36854e-07
-2.5141e-08,-1.15266e-07,8.37113e-07
1.5205e-06,1.04218e-06,-4.58648e-08
2.5086e-07,1.06682e-07,1.11266e-06
1.37521e-06,1.3339e-06,2.48649e-07
-2.74742e-07,-7.66412e-07,8.83778e-07
9.61671e-07,-8.38677e-07,1.00156e-06
-9.67544e-07,-5.57729e-07,5.91823e-08
8.57803e-07,1.12399e-06,1.17084e-07
3.39744e-07,-1.38386e-06,7.28037e-08
9.76175e-07,2.49595e-07,6.97404e-07
-1.10815e-06,-3.64884e-07,8.62505e-08
-5.03507e-07,1.08491e-06,1.09416e-06
9.62839e-07,-4.9405e-07,8.01227e-07
-1.28699e-06,-2.20995e-07,1.78219e-07
3.57463e-07,1.74157e-06,6.57001e-07
-9.04021e-07,-2.40133e-07,3.17177e-07
5.79206e-07,-4.74665e-07,9.52143e-07
8.2051e-07,6.17578e-08,5.47659e-07
7.171e-07,6.85771e-07,6.48509e-07
-1.67077e-07,6.03858e-07,1.30605e-06
