x,y,z,temperature
-4e-06,0,-1.70667e-06,0.120639
-4e-06,0,-1.68e-06,0.121032
-4e-06,0,-1.65333e-06,0.121425
-4e-06,0,-1.62667e-06,0.121817
-4e-06,0,-1.6e-06,0.122209
-4e-06,0,-1.57333e-06,0.122601
-4e-06,0,-1.54667e-06,0.122992
-4e-06,0,-1.52e-06,0.123383
-4e-06,0,-1.49333e-06,0.123773
-4e-06,0,-1.46667e-06,0.124163
-4e-06,0,-1.44e-06,0.124552
-4e-06,0,-1.41333e-06,0.12494
-4e-06,0,-1.38667e-06,0.125328
-4e-06,0,-1.36e-06,0.125714
-4e-06,0,-1.33333e-06,0.1261
-4e-06,0,-1.30667e-06,0.126484
-4e-06,0,-1.28e-06,0.126867
-4e-06,0,-1.25333e-06,0.12725
-4e-06,0,-1.22667e-06,0.12763
-4e-06,0,-1.2e-06,0.12801
-4e-06,0,-1.17333e-06,0.128387
-4e-06,0,-1.14667e-06,0.128764
-4e-06,0,-1.12e-06,0.129138
-4e-06,0,-1.09333e-06,0.129511
-4e-06,0,-1.06667e-06,0.129882
-4e-06,0,-1.04e-06,0.130251
-4e-06,0,-1.01333e-06,0.130618
-4e-06,0,-9.86667e-07,0.130982
-4e-06,0,-9.6e-07,0.131345
-4e-06,0,-9.33333e-07,0.131705
-4e-06,0,-9.06667e-07,0.132062
-4e-06,0,-8.8e-07,0.132417
-4e-06,0,-8.53333e-07,0.132769
-4e-06,0,-8.26667e-07,0.133119
-4e-06,0,-8e-07,0.133465
-4e-06,0,-7.73333e-07,0.133809
-4e-06,0,-7.46667e-07,0.134149
-4e-06,0,-7.2e-07,0.134486
-4e-06,0,-6.93333e-07,0.13482
-4e-06,0,-6.66667e-07,0.13515
-4e-06,0,-6.4e-07,0.135477
-4e-06,0,-6.13333e-07,0.1358
-4e-06,0,-5.86667e-07,0.136119
-4e-06,0,-5.6e-07,0.136435
-4e-06,0,-5.33333e-07,0.136746
-4e-06,0,-5.06667e-07,0.137053
-4e-06,0,-4.8e-07,0.137356
-4e-06,0,-4.53333e-07,0.137655
-4e-06,0,-4.26667e-07,0.137949
-4e-06,0,-4e-07,0.138238
-4e-06,0,-3.73333e-07,0.138523
-4e-06,0,-3.46667e-07,0.138803
-4e-06,0,-3.2e-07,0.139078
-4e-06,0,-2.93333e-07,0.139348
-4e-06,0,-2.66667e-07,0.139613
-4e-06,0,-2.4e-07,0.139872
-4e-06,0,-2.13333e-07,0.140126
-4e-06,0,-1.86667e-07,0.140375
-4e-06,0,-1.6e-07,0.140618
-4e-06,0,-1.33333e-07,0.140856
-4e-06,0,-1.06667e-07,0.141088
-4e-06,0,-8e-08,0.141314
-4e-06,0,-5.33333e-08,0.141533
-4e-06,0,-2.66667e-08,0.141747
-4e-06,0,-1.38966e-21,0.141955
-4e-06,0,2.66667e-08,0.142157
-4e-06,0,5.33333e-08,0.142352
-4e-06,0,8e-08,0.142541
-4e-06,0,1.06667e-07,0.142723
-4e-06,0,1.33333e-07,0.142899
-4e-06,0,1.6e-07,0.143068
-4e-06,0,1.86667e-07,0.14323
-4e-06,0,2.13333e-07,0.143386
-4e-06,0,2.4e-07,0.143535
-4e-06,0,2.66667e-07,0.143677
-4e-06,0,2.93333e-07,0.143812
-4e-06,0,3.2e-07,0.14394
-4e-06,0,3.46667e-07,0.14406
-4e-06,0,3.73333e-07,0.144174
-4e-06,0,4e-07,0.144281
-4e-06,0,4.26667e-07,0.14438
-4e-06,0,4.53333e-07,0.144472
-4e-06,0,4.8e-07,0.144557
-4e-06,0,5.06667e-07,0.144634
-4e-06,0,5.33333e-07,0.144704
-4e-06,0,5.6e-07,0.144767
-4e-06,0,5.86667e-07,0.144823
-4e-06,0,6.13333e-07,0.144871
-4e-06,0,6.4e-07,0.144911
-4e-06,0,6.66667e-07,0.144944
-4e-06,0,6.93333e-07,0.14497
-4e-06,0,7.2e-07,0.144988
-4e-06,0,7.46667e-07,0.144999
-4e-06,0,7.73333e-07,0.145002
-4e-06,0,8e-07,0.144998
-4e-06,0,8.26667e-07,0.144987
-4e-06,0,8.53333e-07,0.144968
-4e-06,0,8.8e-07,0.144942
-4e-06,0,9.06667e-07,0.144908
-4e-06,0,9.33333e-07,0.144867
-4e-06,0,9.6e-07,0.144819
-4e-06,0,9.86667e-07,0.144764
-4e-06,0,1.01333e-06,0.144701
-4e-06,0,1.04e-06,0.144631
-4e-06,0,1.06667e-06,0.144554
-4e-06,0,1.09333e-06,0.14447
-4e-06,0,1.12e-06,0.144379
-4e-06,0,1.14667e-06,0.144281
-4e-06,0,1.17333e-06,0.144176
-4e-06,0,1.2e-06,0.144064
-4e-06,0,1.22667e-06,0.143946
-4e-06,0,1.25333e-06,0.14382
-4e-06,0,1.28e-06,0.143688
-4e-06,0,1.30667e-06,0.14355
-4e-06,0,1.33333e-06,0.143404
-4e-06,0,1.36e-06,0.143253
-4e-06,0,1.38667e-06,0.143095
-4e-06,0,1.41333e-06,0.14293
-4e-06,0,1.44e-06,0.14276
-4e-06,0,1.46667e-06,0.142583
-4e-06,0,1.49333e-06,0.1424
-4e-06,0,1.52e-06,0.142211
-4e-06,0,1.54667e-06,0.142017
-4e-06,0,1.57333e-06,0.141816
-4e-06,0,1.6e-06,0.14161
-4e-06,0,1.62667e-06,0.141398
-4e-06,0,1.65333e-06,0.14118
-4e-06,0,1.68e-06,0.140958
-4e-06,0,1.70667e-06,0.140729
-4e-06,0,1.73333e-06,0.140496
-4e-06,0,1.76e-06,0.140257
-4e-06,0,1.78667e-06,0.140014
-4e-06,0,1.81333e-06,0.139765
-4e-06,0,1.84e-06,0.139511
-4e-06,0,1.86667e-06,0.139253
-4e-06,0,1.89333e-06,0.13899
-4e-06,0,1.92e-06,0.138723
-4e-06,0,1.94667e-06,0.138451
-4e-06,0,1.97333e-06,0.138174
-4e-06,0,2e-06,0.137893
-4e-06,0,2.02667e-06,0.137609
-4e-06,0,2.05333e-06,0.13732
-4e-06,0,2.08e-06,0.137027
-4e-06,0,2.10667e-06,0.13673
-4e-06,0,2.13333e-06,0.136429
-4e-06,0,2.16e-06,0.136125
-4e-06,0,2.18667e-06,0.135817
-4e-06,0,2.21333e-06,0.135506
-4e-06,0,2.24e-06,0.135191
-4e-06,0,2.26667e-06,0.134873
-4e-06,0,2.29333e-06,0.134552
-4e-06,0,2.32e-06,0.134228
-4e-06,0,2.34667e-06,0.133901
-4e-06,0,2.37333e-06,0.13357
-4e-06,0,2.4e-06,0.133237
-4e-06,0,2.42667e-06,0.132902
-4e-06,0,2.45333e-06,0.132563
-4e-06,0,2.48e-06,0.132222
-4e-06,0,2.50667e-06,0.131879
-4e-06,0,2.53333e-06,0.131533
-4e-06,0,2.56e-06,0.131185
-4e-06,0,2.58667e-06,0.130835
-4e-06,0,2.61333e-06,0.130483
-4e-06,0,2.64e-06,0.130128
-4e-06,0,2.66667e-06,0.129772
-4e-06,0,2.69333e-06,0.129414
-4e-06,0,2.72e-06,0.129054
-4e-06,0,2.74667e-06,0.128693
-4e-06,0,2.77333e-06,0.128329
-4e-06,0,2.8e-06,0.127965
-4e-06,0,2.82667e-06,0.127599
-4e-06,0,2.85333e-06,0.127231
-4e-06,0,2.88e-06,0.126862
-4e-06,0,2.90667e-06,0.126492
-4e-06,0,2.93333e-06,0.126121
-4e-06,0,2.96e-06,0.125749
-4e-06,0,2.98667e-06,0.125375
-4e-06,0,3.01333e-06,0.125001
-4e-06,0,3.04e-06,0.124626
