t,x,y,z,v
1.59,6.86746e-07,1.731e-06,-1.82565e-06,9.68439e-07
1.6,6.4035e-07,1.74189e-06,-1.78343e-06,9.75982e-07
1.61,6.94091e-07,1.73319e-06,-1.86265e-06,9.71662e-07
1.62,6.88874e-07,1.83645e-06,-1.82925e-06,9.76114e-07
1.63,6.54052e-07,1.91948e-06,-1.85136e-06,9.74615e-07
1.64,6.03264e-07,1.94126e-06,-1.79601e-06,9.74926e-07
1.65,6.11266e-07,1.96674e-06,-1.83487e-06,9.6408e-07
1.66,5.80705e-07,2.10306e-06,-1.92584e-06,9.67393e-07
1.67,5.4914e-07,2.05777e-06,-1.95823e-06,9.6529e-07
1.68,5.65876e-07,1.9228e-06,-1.98847e-06,9.66197e-07
1.69,5.45839e-07,1.85284e-06,-1.94781e-06,9.61789e-07
1.7,6.64185e-07,1.9225e-06,-2.02568e-06,9.54011e-07
1.71,6.35686e-07,1.89017e-06,-2.09328e-06,9.71931e-07
1.72,5.1178e-07,1.875e-06,-2.15727e-06,9.74145e-07
1.73,5.15367e-07,1.80761e-06,-2.25969e-06,9.56221e-07
1.74,5.19353e-07,1.87077e-06,-2.30205e-06,9.60731e-07
1.75,5.20841e-07,1.76475e-06,-2.29869e-06,9.66851e-07
1.76,5.9453e-07,1.71202e-06,-2.37385e-06,9.57066e-07
1.77,6.65189e-07,1.62626e-06,-2.39956e-06,9.62625e-07
1.78,6.32476e-07,1.64312e-06,-2.44422e-06,9.75766e-07
1.79,6.58912e-07,1.67746e-06,-2.58841e-06,9.69918e-07
1.8,7.47403e-07,1.61979e-06,-2.59643e-06,9.64055e-07
1.81,7.52533e-07,1.62897e-06,-2.6222e-06,9.61981e-07
1.82,7.32727e-07,1.64598e-06,-2.6846e-06,9.60844e-07
1.83,7.795e-07,1.66424e-06,-2.61831e-06,9.60428e-07
1.84,7.03033e-07,1.66114e-06,-2.57854e-06,9.65073e-07
1.85,6.45215e-07,1.58908e-06,-2.54568e-06,9.65342e-07
1.86,6.77332e-07,1.59618e-06,-2.56148e-06,9.74126e-07
1.87,7.0909e-07,1.70581e-06,-2.56666e-06,9.72804e-07
1.88,6.38112e-07,1.7088e-06,-2.4577e-06,9.70842e-07
1.89,6.01757e-07,1.76946e-06,-2.41192e-06,9.61513e-07
1.9,5.61036e-07,1.82011e-06,-2.50594e-06,9.64332e-07
1.91,5.75931e-07,1.89432e-06,-2.44246e-06,9.56645e-07
1.92,5.69891e-07,1.83656e-06,-2.54766e-06,9.5988e-07
1.93,5.88055e-07,1.75496e-06,-2.54887e-06,9.60582e-07
1.94,6.67994e-07,1.77872e-06,-2.55165e-06,9.62302e-07
1.95,7.00714e-07,1.81543e-06,-2.52666e-06,9.81954e-07
1.96,7.45705e-07,1.78214e-06,-2.47443e-06,9.72549e-07
1.97,7.26625e-07,1.74391e-06,-2.49232e-06,9.6309e-07
1.98,6.54771e-07,1.74537e-06,-2.52905e-06,9.63904e-07
1.99,5.9334e-07,1.67772e-06,-2.61865e-06,9.74865e-07
2,6.50904e-07,1.72748e-06,-2.65349e-06,9.65214e-07
2.01,5.80785e-07,1.77886e-06,-2.70969e-06,9.67128e-07
2.02,4.9134e-07,1.71474e-06,-2.81421e-06,9.64599e-07
2.03,4.88206e-07,1.64276e-06,-2.80906e-06,9.59262e-07
2.04,4.72894e-07,1.64819e-06,-2.8148e-06,9.63416e-07
2.05,5.53014e-07,1.7132e-06,-2.83084e-06,9.62246e-07
2.06,5.57833e-07,1.69464e-06,-2.95875e-06,9.58458e-07
2.07,4.62666e-07,1.61311e-06,-2.96185e-06,9.67596e-07
2.08,4.60535e-07,1.57001e-06,-2.94715e-06,9.65137e-07
2.09,3.95379e-07,1.502e-06,-2.92616e-06,9.5569e-07
2.1,4.01742e-07,1.53466e-06,-3.01694e-06,9.65091e-07
2.11,3.91543e-07,1.50297e-06,-3.04324e-06,9.66383e-07
2.12,3.5908e-07,1.49934e-06,-3.12452e-06,9.68304e-07
2.13,3.52777e-07,1.45219e-06,-3.17529e-06,9.71515e-07
2.14,3.44393e-07,1.52954e-06,-3.37275e-06,9.7078e-07
2.15,3.89174e-07,1.65377e-06,-3.46523e-06,9.73457e-07
2.16,3.42035e-07,1.82963e-06,-3.36361e-06,9.64892e-07
2.17,3.74198e-07,1.8133e-06,-3.36655e-06,9.7668e-07
2.18,3.37345e-07,1.76097e-06,-3.2465e-06,9.73123e-07
2.19,3.64134e-07,1.7127e-06,-3.25562e-06,9.77898e-07
2.2,3.0555e-07,1.6867e-06,-3.3414e-06,9.66427e-07
2.21,2.86955e-07,1.73922e-06,-3.31327e-06,9.645e-07
2.22,3.20382e-07,1.82885e-06,-3.35029e-06,9.63426e-07
2.23,2.86096e-07,1.81381e-06,-3.32674e-06,9.75358e-07
2.24,3.38469e-07,1.88694e-06,-3.39397e-06,9.61912e-07
2.25,3.91872e-07,1.81833e-06,-3.47312e-06,9.78537e-07
2.26,3.86397e-07,1.7923e-06,-3.54806e-06,9.68292e-07
2.27,3.90942e-07,1.72586e-06,-3.51323e-06,9.74124e-07
2.28,4.33256e-07,1.70128e-06,-3.44533e-06,9.65886e-07
2.29,4.30389e-07,1.71266e-06,-3.44682e-06,9.64868e-07
2.3,4.70028e-07,1.71033e-06,-3.50601e-06,9.64531e-07
2.31,5.45302e-07,1.77417e-06,-3.40556e-06,9.66433e-07
2.32,5.86648e-07,1.79187e-06,-3.34824e-06,9.57256e-07
2.33,5.40983e-07,1.76821e-06,-3.23854e-06,9.64073e-07
2.34,4.41929e-07,1.82966e-06,-3.19442e-06,9.57005e-07
2.35,4.27527e-07,1.85412e-06,-3.19661e-06,9.56289e-07
2.36,4.02998e-07,1.92334e-06,-3.29928e-06,9.56012e-07
2.37,4.36352e-07,2.00841e-06,-3.32792e-06,9.66966e-07
2.38,4.99269e-07,2.03519e-06,-3.36256e-06,9.65105e-07
2.39,4.79593e-07,2.11265e-06,-3.38167e-06,9.5838e-07
2.4,4.44506e-07,2.01956e-06,-3.38244e-06,9.53041e-07
2.41,4.12289e-07,2.04705e-06,-3.52087e-06,9.65382e-07
2.42,3.92261e-07,2.11554e-06,-3.52016e-06,9.62871e-07
2.43,3.82941e-07,1.99346e-06,-3.48435e-06,9.68436e-07
2.44,2.77656e-07,2.02666e-06,-3.41988e-06,9.6383e-07
2.45,3.14123e-07,1.89399e-06,-3.3587e-06,9.69073e-07
2.46,3.22706e-07,1.92402e-06,-3.38242e-06,9.75374e-07
2.47,3.74355e-07,1.96239e-06,-3.32566e-06,9.74677e-07
2.48,3.98824e-07,2.04098e-06,-3.35188e-06,9.60543e-07
2.49,4.52571e-07,2.04032e-06,-3.37181e-06,9.61986e-07
2.5,5.23431e-07,1.95613e-06,-3.35567e-06,9.66574e-07
2.51,5.21711e-07,1.88498e-06,-3.36056e-06,9.62002e-07
2.52,4.68192e-07,1.93671e-06,-3.35212e-06,9.45721e-07
2.53,4.23706e-07,1.90229e-06,-3.36247e-06,9.6017e-07
2.54,4.47312e-07,1.93431e-06,-3.35418e-06,9.64871e-07
2.55,5.42395e-07,1.91122e-06,-3.40827e-06,9.63182e-07
2.56,5.56061e-07,1.94329e-06,-3.50166e-06,9.59629e-07
2.57,5.31389e-07,2.00559e-06,-3.57368e-06,9.59621e-07
2.58,5.37533e-07,2.04988e-06,-3.59313e-06,9.59829e-07
2.59,4.9465e-07,2.03205e-06,-3.65967e-06,9.64157e-07
2.6,4.90054e-07,2.02588e-06,-3.66143e-06,9.61262e-07
2.61,5.77381e-07,2.08163e-06,-3.54608e-06,9.58783e-07
2.62,5.68063e-07,2.09876e-06,-3.61458e-06,9.59737e-07
2.63,6.64525e-07,2.16425e-06,-3.60671e-06,9.62886e-07
2.64,6.93041e-07,2.20917e-06,-3.60699e-06,9.78334e-07
2.65,7.69235e-07,2.21984e-06,-3.59358e-06,9.72057e-07
2.66,7.44528e-07,2.21025e-06,-3.59095e-06,9.56633e-07
2.67,8.03984e-07,2.32797e-06,-3.57217e-06,9.6457e-07
2.68,7.50065e-07,2.30085e-06,-3.60645e-06,9.61951e-07
2.69,7.43824e-07,2.24732e-06,-3.64788e-06,9.65048e-07
2.7,7.78856e-07,2.3503e-06,-3.70242e-06,9.69698e-07
2.71,8.27488e-07,2.35171e-06,-3.73107e-06,9.65585e-07
2.72,8.69385e-07,2.34969e-06,-3.60794e-06,9.58213e-07
2.73,7.92617e-07,2.34351e-06,-3.54788e-06,9.6537e-07
2.74,6.56335e-07,2.29105e-06,-3.65826e-06,9.57697e-07
2.75,7.16961e-07,2.3259e-06,-3.73163e-06,9.70286e-07
2.76,7.00945e-07,2.24639e-06,-3.68053e-06,9.61524e-07
2.77,6.00857e-07,2.28007e-06,-3.7335e-06,9.67072e-07
2.78,5.09928e-07,2.34873e-06,-3.71353e-06,9.62699e-07
2.79,5.99867e-07,2.40338e-06,-3.68182e-06,9.60957e-07
2.8,5.85975e-07,2.31092e-06,-3.72496e-06,9.66957e-07
2.81,6.3386e-07,2.2722e-06,-3.72866e-06,9.64904e-07
2.82,5.99186e-07,2.40383e-06,-3.87663e-06,9.71814e-07
2.83,5.84054e-07,2.36205e-06,-3.87761e-06,9.60159e-07
2.84,5.8395e-07,2.3414e-06,-3.87747e-06,9.65935e-07
2.85,5.84319e-07,2.53783e-06,-3.88138e-06,9.65776e-07
2.86,5.0593e-07,2.51783e-06,-3.88824e-06,9.67605e-07
2.87,6.02212e-07,2.51692e-06,-3.82885e-06,9.62174e-07
