t,x,y,z,v
1.4,-6.22968e-07,-1.25588e-06,1.48143e-07,4.34099e-07
1.41,-6.91726e-07,-1.24979e-06,6.48281e-08,4.33195e-07
1.42,-7.6916e-07,-1.14669e-06,-1.55659e-08,4.33015e-07
1.43,-7.07171e-07,-1.16791e-06,-3.30345e-08,4.22613e-07
1.44,-7.75316e-07,-1.11655e-06,5.53136e-09,4.33293e-07
1.45,-7.93836e-07,-1.13685e-06,-1.18844e-08,4.19875e-07
1.46,-9.36739e-07,-1.1976e-06,5.24389e-08,4.23397e-07
1.47,-9.2671e-07,-1.18329e-06,2.14928e-08,4.15761e-07
1.48,-8.74377e-07,-1.16906e-06,2.90516e-08,4.14609e-07
1.49,-8.80294e-07,-1.13076e-06,6.90686e-08,4.20491e-07
1.5,-8.2365e-07,-1.159e-06,1.72088e-07,4.20614e-07
1.51,-8.94274e-07,-1.1689e-06,1.29225e-07,4.24835e-07
1.52,-8.83113e-07,-1.19027e-06,5.66437e-08,4.22528e-07
1.53,-9.04886e-07,-1.28543e-06,5.36526e-08,4.17559e-07
1.54,-9.52191e-07,-1.32804e-06,2.44457e-08,4.21303e-07
1.55,-9.57212e-07,-1.50162e-06,4.27983e-08,4.25266e-07
1.56,-9.92918e-07,-1.54115e-06,-1.71506e-08,4.24288e-07
1.57,-1.03286e-06,-1.50294e-06,-1.06731e-07,4.21329e-07
1.58,-9.74495e-07,-1.56858e-06,-2.70584e-07,4.24399e-07
1.59,-9.86738e-07,-1.47248e-06,-2.41638e-07,4.25873e-07
1.6,-1.02567e-06,-1.47511e-06,-1.77236e-07,4.23867e-07
1.61,-1.04105e-06,-1.44237e-06,-2.09638e-07,4.20903e-07
1.62,-1.0993e-06,-1.48475e-06,-3.14317e-07,4.16041e-07
1.63,-1.04093e-06,-1.43365e-06,-3.70718e-07,4.09558e-07
1.64,-1.071e-06,-1.39672e-06,-4.48759e-07,4.19599e-07
1.65,-9.79991e-07,-1.40177e-06,-5.82467e-07,4.14181e-07
1.66,-9.98318e-07,-1.51867e-06,-5.99962e-07,4.2353e-07
1.67,-9.01436e-07,-1.52229e-06,-6.3858e-07,4.26429e-07
1.68,-9.10771e-07,-1.54566e-06,-6.452e-07,4.13093e-07
1.69,-9.15687e-07,-1.43056e-06,-7.85984e-07,4.24925e-07
1.7,-9.14813e-07,-1.39267e-06,-7.66166e-07,4.23281e-07
1.71,-8.44194e-07,-1.30816e-06,-7.82058e-07,4.19789e-07
1.72,-8.33693e-07,-1.29306e-06,-7.48611e-07,4.23903e-07
1.73,-8.65234e-07,-1.32444e-06,-7.98862e-07,4.23288e-07
1.74,-8.35822e-07,-1.25549e-06,-7.76986e-07,4.22988e-07
1.75,-8.65668e-07,-1.29321e-06,-7.82506e-07,4.15719e-07
1.76,-7.59523e-07,-1.34499e-06,-7.52915e-07,4.21347e-07
1.77,-7.38109e-07,-1.41237e-06,-7.55228e-07,4.3052e-07
1.78,-7.13129e-07,-1.44137e-06,-6.78493e-07,4.30588e-07
1.79,-7.06314e-07,-1.42154e-06,-7.32163e-07,4.27263e-07
1.8,-6.55883e-07,-1.39091e-06,-6.1913e-07,4.30656e-07
1.81,-5.99714e-07,-1.34791e-06,-5.73235e-07,4.28614e-07
1.82,-6.3061e-07,-1.31228e-06,-5.07543e-07,4.31884e-07
1.83,-6.48502e-07,-1.29295e-06,-3.45903e-07,4.28269e-07
1.84,-7.14383e-07,-1.25415e-06,-3.58248e-07,4.31441e-07
1.85,-6.87192e-07,-1.2955e-06,-3.97131e-07,4.24781e-07
1.86,-7.25607e-07,-1.29399e-06,-3.31585e-07,4.22303e-07
1.87,-7.22689e-07,-1.27138e-06,-3.53989e-07,4.26307e-07
1.88,-7.67856e-07,-1.22382e-06,-3.04221e-07,4.26618e-07
1.89,-7.41593e-07,-1.17048e-06,-3.51943e-07,4.24149e-07
1.9,-7.57879e-07,-1.15169e-06,-3.1253e-07,4.26438e-07
1.91,-7.51638e-07,-1.21201e-06,-4.38665e-07,4.20859e-07
1.92,-7.27834e-07,-1.20947e-06,-4.00603e-07,4.19566e-07
1.93,-7.17367e-07,-1.25656e-06,-4.06515e-07,4.2443e-07
1.94,-7.63775e-07,-1.2609e-06,-4.03708e-07,4.24778e-07
1.95,-8.5174e-07,-1.24002e-06,-4.73392e-07,4.27245e-07
1.96,-7.21696e-07,-1.33275e-06,-5.20731e-07,4.25108e-07
1.97,-7.01537e-07,-1.21507e-06,-5.34011e-07,4.28066e-07
1.98,-5.71954e-07,-1.10761e-06,-5.32743e-07,4.26121e-07
1.99,-5.25115e-07,-1.11816e-06,-5.57568e-07,4.23324e-07
2,-4.31213e-07,-1.13836e-06,-5.54275e-07,4.30212e-07
2.01,-4.18429e-07,-1.06291e-06,-5.74611e-07,4.27429e-07
2.02,-2.93365e-07,-1.13905e-06,-6.45337e-07,4.31873e-07
2.03,-3.84285e-07,-1.1723e-06,-5.49948e-07,4.34904e-07
2.04,-5.04319e-07,-1.17219e-06,-5.37894e-07,4.3392e-07
2.05,-5.24605e-07,-1.18667e-06,-6.15964e-07,4.30802e-07
2.06,-4.95556e-07,-1.04408e-06,-6.84534e-07,4.32974e-07
2.07,-5.1582e-07,-1.02912e-06,-6.36448e-07,4.34719e-07
2.08,-4.44312e-07,-1.08753e-06,-6.06552e-07,4.33131e-07
2.09,-3.96946e-07,-1.09905e-06,-5.32768e-07,4.3112e-07
2.1,-3.5319e-07,-1.01802e-06,-6.36862e-07,4.35363e-07
2.11,-4.65556e-07,-1.02139e-06,-5.68866e-07,4.33541e-07
2.12,-4.59244e-07,-9.81614e-07,-6.77e-07,4.33184e-07
2.13,-4.28194e-07,-1.04132e-06,-7.68465e-07,4.333e-07
