x,y,z
-5.5597e-07,-1.30935e-09,1.28459e-06
-7.79793e-07,1.39424e-06,5.58968e-07
-1.11667e-06,1.30247e-06,1.08837e-06
-8.34393e-07,-6.54597e-07,1.3835e-06
3.18893e-07,1.12513e-06,-6.83569e-08
8.27828e-08,-1.16791e-06,2.10258e-07
-1.22035e-06,1.70238e-06,4.14999e-07
1.79385e-06,-9.17456e-07,-7.3495e-08
1.45477e-06,-6.1516e-08,1.26008e-06
-7.17285e-07,6.5097e-07,1.71526e-06
2.21307e-07,-1.407e-06,2.69644e-08
-1.10583e-06,-1.61098e-06,9.68459e-08
-8.23143e-07,-1.1593e-06,1.1421e-06
1.18078e-06,9.5931e-07,7.14135e-07
1.62987e-06,1.0154e-07,8.62362e-07
1.24168e-06,1.5379e-06,1.08663e-06
-1.30983e-06,7.21402e-07,7.9717e-07
-5.06979e-07,-6.47514e-07,1.36677e-06
6.59336e-07,1.67212e-06,4.49484e-07
-1.41502e-06,-8.94602e-07,5.16023e-07
-3.45726e-07,-1.56109e-06,-1.19098e-07
9.94707e-07,-5.34723e-07,1.07111e-06
5.80576e-07,-1.77941e-06,3.68605e-07
8.43683e-07,-3.69874e-07,8.25681e-07
1.25874e-06,1.36935e-06,7.96717e-07
4.79548e-07,-1.37566e-06,5.88229e-07
-1.38252e-06,8.17445e-07,4.60808e-07
-1.4893e-06,-8.12286e-07,3.923e-07
5.20026e-07,-4.73307e-07,7.2316e-09
1.25233e-06,-6.15421e-07,4.81747e-07
-6.35739e-07,1.19278e-06,1.13809e-06
-1.3932e-06,-1.39439e-06,1.1401e-06
7.5428e-07,-1.88307e-07,1.24906e-06
-4.06094e-07,-1.9116e-06,3.98725e-08
-5.63904e-07,1.11798e-06,1.54822e-06
-1.77328e-06,-1.12147e-06,6.73256e-07
6.06952e-07,-3.51546e-07,4.21379e-07
-8.44363e-07,-1.78051e-07,1.29369e-06
1.36466e-06,9.43107e-07,1.38429e-06
7.57244e-07,-1.46842e-06,5.35503e-07
3.02478e-07,-1.26676e-06,6.99746e-07
-1.69319e-07,-1.60486e-06,7.18459e-07
-5.44485e-07,5.02653e-07,1.69785e-06
-5.02051e-07,-3.10423e-07,1.65687e-06
1.26564e-07,1.03776e-06,1.46794e-06
-1.73527e-06,-8.40077e-07,2.47179e-07
1.50321e-06,1.1321e-06,9.53418e-07
-1.24284e-06,1.3309e-06,8.75488e-07
1.31583e-07,-1.77969e-06,4.16787e-07
-1.91384e-06,1.87853e-06,4.12394e-07
1.53041e-06,6.9508e-07,4.5891e-07
1.74187e-06,-3.12841e-07,2.79324e-07
-1.76176e-06,-8.42501e-07,-5.56912e-08
-1.49324e-08,1.34315e-06,4.5608e-07
-7.72456e-07,6.35286e-07,1.53309e-06
1.51997e-06,-1.82006e-06,-1.11734e-07
-1.41871e-06,-1.48912e-06,3.80091e-08
6.08332e-07,1.14315e-06,8.99206e-07
-1.63306e-06,-1.86661e-06,2.32299e-07
1.07206e-06,1.39792e-06,4.08786e-07
-5.57694e-07,-7.32173e-07,1.56363e-06
-7.47439e-07,-8.86163e-08,8.51054e-07
-1.47671e-06,1.55881e-06,1.0139e-06
-5.29067e-07,-1.26268e-06,8.66264e-07
2.87983e-07,2.9356e-07,1.63758e-06
3.89149e-07,-1.11533e-06,8.39145e-07
4.11806e-07,-9.97725e-07,1.23732e-06
1.11767e-07,-4.8782e-07,1.68491e-07
-1.653e-07,-1.34868e-06,2.56953e-07
1.67293e-06,-1.43764e-06,8.41656e-07
4.43625e-07,7.72131e-07,1.62265e-06
-3.46366e-07,-1.0829e-06,2.66614e-07
1.07705e-06,-1.07798e-06,9.9828e-07
-1.48292e-07,-3.84797e-07,1.28158e-06
1.47549e-06,-9.31654e-07,3.61439e-07
-8.13042e-07,-8.43931e-07,3.63142e-07
1.56525e-06,-1.4905e-06,-1.81579e-07
3.55276e-10,-1.34376e-06,9.44687e-07
1.70951e-06,-8.11548e-07,3.95193e-07
1.61188e-06,3.96325e-07,-4.35655e-08
-1.64325e-06,-1.23728e-06,9.77333e-07
3.46025e-07,1.50873e-06,7.21819e-07
8.09338e-07,1.42207e-06,5.32274e-07
