t,x,y,z,v
1.2,-1.11401e-06,-6.84241e-07,-4.30794e-07,4.55309e-07
1.21,-1.19506e-06,-6.90745e-07,-5.09638e-07,4.61929e-07
1.22,-1.15504e-06,-6.30862e-07,-6.36857e-07,4.56806e-07
1.23,-1.10833e-06,-5.41029e-07,-6.87579e-07,4.58412e-07
1.24,-1.10126e-06,-5.73871e-07,-5.48712e-07,4.57163e-07
1.25,-1.05381e-06,-6.08382e-07,-5.69763e-07,4.5652e-07
1.26,-1.01694e-06,-6.62344e-07,-6.37983e-07,4.6226e-07
1.27,-9.68344e-07,-6.63942e-07,-5.34904e-07,4.59681e-07
1.28,-9.77774e-07,-6.02148e-07,-4.27002e-07,4.62816e-07
1.29,-9.79475e-07,-6.46158e-07,-4.94826e-07,4.63326e-07
1.3,-9.64258e-07,-5.94117e-07,-4.90202e-07,4.57126e-07
1.31,-8.52306e-07,-6.48195e-07,-4.81038e-07,4.61901e-07
1.32,-8.2677e-07,-5.99799e-07,-4.32843e-07,4.5615e-07
1.33,-8.92874e-07,-4.20587e-07,-5.51405e-07,4.57211e-07
1.34,-7.8841e-07,-3.34909e-07,-5.41348e-07,4.55352e-07
1.35,-7.62632e-07,-3.77096e-07,-5.37431e-07,4.62649e-07
1.36,-6.73621e-07,-4.1765e-07,-6.64993e-07,4.63157e-07
1.37,-7.3837e-07,-5.68827e-07,-6.46346e-07,4.59949e-07
1.38,-7.0244e-07,-5.91932e-07,-7.33632e-07,4.59901e-07
1.39,-7.91445e-07,-6.16901e-07,-6.60045e-07,4.62311e-07
1.4,-8.06577e-07,-5.10543e-07,-6.55865e-07,4.62361e-07
1.41,-7.43745e-07,-4.48705e-07,-5.7071e-07,4.572e-07
1.42,-7.97059e-07,-4.31828e-07,-5.79462e-07,4.60242e-07
1.43,-8.76493e-07,-4.23832e-07,-6.45742e-07,4.53613e-07
1.44,-7.75086e-07,-4.45699e-07,-6.22608e-07,4.6089e-07
1.45,-7.77213e-07,-4.9455e-07,-5.54739e-07,4.58081e-07
1.46,-7.48151e-07,-4.73989e-07,-6.01016e-07,4.55695e-07
1.47,-6.38596e-07,-4.97752e-07,-6.22533e-07,4.54925e-07
1.48,-6.47451e-07,-3.6906e-07,-5.92377e-07,4.66061e-07
1.49,-5.43031e-07,-4.03446e-07,-5.18931e-07,4.62667e-07
1.5,-5.36792e-07,-4.20361e-07,-4.92054e-07,4.56884e-07
1.51,-6.97961e-07,-4.30918e-07,-5.66668e-07,4.58578e-07
1.52,-6.98183e-07,-6.11983e-07,-5.08415e-07,4.65219e-07
1.53,-6.2311e-07,-6.59122e-07,-5.08934e-07,4.6409e-07
1.54,-6.12102e-07,-6.54543e-07,-5.10235e-07,4.56884e-07
1.55,-6.45794e-07,-7.11064e-07,-3.86595e-07,4.61806e-07
1.56,-6.60089e-07,-6.41905e-07,-3.29897e-07,4.62525e-07
