t,x,y,z,v
1.43,-4.9602e-07,2.76236e-08,5.67198e-07,7.84206e-07
1.44,-5.2431e-07,6.00456e-08,5.21448e-07,7.65997e-07
1.45,-5.39684e-07,1.88408e-07,4.56211e-07,7.97998e-07
1.46,-4.81715e-07,2.41035e-07,4.50095e-07,7.99712e-07
1.47,-5.45717e-07,2.7619e-07,4.84473e-07,7.81449e-07
1.48,-4.6948e-07,2.52795e-07,5.06886e-07,7.68731e-07
1.49,-4.02517e-07,2.86648e-07,5.57732e-07,7.77024e-07
1.5,-3.51203e-07,3.44076e-07,6.04342e-07,7.67899e-07
1.51,-2.6074e-07,2.76754e-07,4.93805e-07,7.00213e-07
1.52,-2.57061e-07,3.05816e-07,4.69552e-07,7.25166e-07
1.53,-2.46788e-07,2.27383e-07,4.24501e-07,6.94516e-07
1.54,-3.14448e-07,1.49888e-07,4.51611e-07,7.06462e-07
1.55,-3.2059e-07,1.86665e-07,4.55032e-07,7.26524e-07
1.56,-3.46313e-07,1.6677e-07,3.95376e-07,7.13011e-07
1.57,-3.92099e-07,2.06806e-07,3.81362e-07,7.3721e-07
1.58,-2.60205e-07,1.02594e-07,5.0506e-07,7.24617e-07
1.59,-2.48957e-07,-2.19408e-08,4.72547e-07,7.24597e-07
1.6,-2.36194e-07,-6.11407e-08,3.71241e-07,6.81498e-07
1.61,-2.84802e-07,-9.82818e-08,3.31461e-07,7.10311e-07
1.62,-3.03678e-07,-5.1636e-08,3.93325e-07,7.11943e-07
1.63,-2.65e-07,4.0932e-09,4.39317e-07,7.00655e-07
1.64,-2.27923e-07,1.3784e-07,4.75803e-07,6.81486e-07
1.65,-2.94604e-07,2.62872e-07,4.17908e-07,7.24571e-07
1.66,-3.64088e-07,2.65765e-07,5.1647e-07,7.3256e-07
1.67,-2.5528e-07,2.98954e-07,6.02548e-07,7.19546e-07
1.68,-3.67506e-07,2.68948e-07,4.83138e-07,7.224e-07
1.69,-4.29155e-07,2.05385e-07,5.34542e-07,7.40251e-07
1.7,-3.30648e-07,1.75367e-07,6.19664e-07,7.47455e-07
1.71,-3.57318e-07,1.51066e-07,6.36794e-07,7.18414e-07
1.72,-3.25858e-07,1.40838e-07,6.2304e-07,7.4804e-07
1.73,-2.31265e-07,1.32033e-07,4.87086e-07,6.70274e-07
1.74,-3.28896e-07,1.41119e-07,4.91727e-07,6.87189e-07
1.75,-3.53201e-07,2.383e-07,5.44767e-07,6.22852e-07
1.76,-4.14761e-07,2.59445e-07,6.71025e-07,6.2157e-07
1.77,-4.4298e-07,2.00668e-07,7.76997e-07,6.01902e-07
1.78,-4.34096e-07,9.75585e-08,8.1587e-07,5.76661e-07
1.79,-4.61524e-07,1.08473e-07,8.3655e-07,5.7561e-07
1.8,-4.42949e-07,2.69064e-07,8.6618e-07,5.64431e-07
1.81,-3.66695e-07,1.76554e-07,8.93456e-07,5.5621e-07
1.82,-2.89269e-07,2.57533e-07,8.47136e-07,5.49058e-07
1.83,-2.6054e-07,2.45613e-07,8.76633e-07,5.83061e-07
1.84,-3.28654e-07,2.9725e-07,8.47329e-07,5.75314e-07
1.85,-2.81422e-07,2.67726e-07,9.22199e-07,5.68419e-07
1.86,-2.50077e-07,3.3506e-07,9.3552e-07,5.52184e-07
1.87,-2.70764e-07,3.72572e-07,9.12361e-07,5.53921e-07
1.88,-2.37127e-07,4.16963e-07,8.65846e-07,5.71592e-07
1.89,-2.87569e-07,3.81789e-07,9.05856e-07,5.80592e-07
1.9,-3.06485e-07,3.7917e-07,8.06478e-07,5.82856e-07
1.91,-3.44489e-07,3.72544e-07,7.40868e-07,5.85277e-07
1.92,-3.31421e-07,3.1245e-07,7.95337e-07,6.02614e-07
1.93,-4.14343e-07,3.22379e-07,8.89618e-07,5.96957e-07
1.94,-4.43969e-07,3.61046e-07,9.5496e-07,5.64427e-07
1.95,-3.94955e-07,4.57918e-07,9.66489e-07,5.66473e-07
1.96,-3.83314e-07,4.82025e-07,9.16762e-07,6.00933e-07
1.97,-4.42247e-07,4.18767e-07,9.51952e-07,6.2273e-07
1.98,-3.52175e-07,4.9322e-07,9.78635e-07,6.00849e-07
1.99,-4.66253e-07,6.24574e-07,9.70303e-07,5.79393e-07
2,-5.22817e-07,6.96782e-07,8.44284e-07,5.90549e-07
2.01,-5.49904e-07,7.22887e-07,8.11267e-07,5.79897e-07
2.02,-6.04738e-07,6.26528e-07,7.17874e-07,5.77446e-07
2.03,-6.87542e-07,5.64336e-07,6.2312e-07,5.91327e-07
2.04,-6.56415e-07,5.50029e-07,5.61478e-07,6.05672e-07
