x,y
5.33992e-05,5.42795e-05
5.36704e-05,5.21116e-05
5.16696e-05,5.2445e-05
5.33785e-05,5.42691e-05
5.36838e-05,5.21108e-05
5.16777e-05,5.24683e-05
5.33576e-05,5.42592e-05
5.36973e-05,5.21097e-05
5.16853e-05,5.24918e-05
5.33363e-05,5.425e-05
5.37109e-05,5.21083e-05
5.16923e-05,5.25155e-05
5.33148e-05,5.42414e-05
5.37247e-05,5.21065e-05
5.16989e-05,5.25394e-05
5.32931e-05,5.42334e-05
5.37385e-05,5.21045e-05
5.17049e-05,5.25634e-05
5.3271e-05,5.4226e-05
5.37524e-05,5.21021e-05
5.17104e-05,5.25876e-05
5.32488e-05,5.42193e-05
5.37665e-05,5.20995e-05
5.17153e-05,5.2612e-05
5.32264e-05,5.42131e-05
5.37807e-05,5.20966e-05
5.17197e-05,5.26365e-05
5.32038e-05,5.42076e-05
5.37949e-05,5.20935e-05
5.17236e-05,5.2661e-05
5.3181e-05,5.42027e-05
5.38093e-05,5.20901e-05
5.1727e-05,5.26857e-05
5.31581e-05,5.41983e-05
5.38238e-05,5.20864e-05
5.17299e-05,5.27105e-05
5.3135e-05,5.41946e-05
5.38384e-05,5.20825e-05
5.1729e-05,5.27329e-05
5.3114e-05,5.41949e-05
5.38531e-05,5.20784e-05
5.17204e-05,5.27503e-05
5.30978e-05,5.42031e-05
5.38679e-05,5.20741e-05
5.1708e-05,5.27647e-05
5.30847e-05,5.42151e-05
5.38827e-05,5.20696e-05
5.16946e-05,5.27787e-05
5.30718e-05,5.42284e-05
5.38977e-05,5.2065e-05
5.16808e-05,5.27928e-05
5.30585e-05,5.4242e-05
5.39127e-05,5.20601e-05
5.16669e-05,5.2807e-05
5.30451e-05,5.42557e-05
5.39278e-05,5.20551e-05
5.16528e-05,5.28213e-05
5.30315e-05,5.42696e-05
5.39429e-05,5.20499e-05
5.16387e-05,5.28357e-05
5.30178e-05,5.42836e-05
5.39582e-05,5.20445e-05
5.16245e-05,5.28502e-05
5.3004e-05,5.42977e-05
5.39735e-05,5.2039e-05
5.16102e-05,5.28647e-05
5.29901e-05,5.43118e-05
5.39889e-05,5.20333e-05
5.15958e-05,5.28793e-05
5.29761e-05,5.43261e-05
5.40044e-05,5.20275e-05
5.15813e-05,5.2894e-05
5.2962e-05,5.43405e-05
5.40199e-05,5.20215e-05
5.15668e-05,5.29088e-05
5.29478e-05,5.43549e-05
5.40355e-05,5.20154e-05
5.15522e-05,5.29237e-05
5.29336e-05,5.43695e-05
5.40512e-05,5.20092e-05
5.15374e-05,5.29386e-05
5.29192e-05,5.43841e-05
5.40669e-05,5.20028e-05
5.15226e-05,5.29537e-05
5.29047e-05,5.43988e-05
5.40828e-05,5.19963e-05
5.15077e-05,5.29688e-05
5.28901e-05,5.44136e-05
5.40986e-05,5.19896e-05
5.14928e-05,5.29839e-05
5.28755e-05,5.44285e-05
5.41146e-05,5.19828e-05
5.14777e-05,5.29992e-05
5.28608e-05,5.44435e-05
5.41306e-05,5.19759e-05
5.14626e-05,5.30145e-05
5.28459e-05,5.44585e-05
5.41467e-05,5.19689e-05
5.14474e-05,5.30299e-05
5.2831e-05,5.44737e-05
5.41629e-05,5.19618e-05
5.14321e-05,5.30454e-05
5.2816e-05,5.44889e-05
5.41791e-05,5.19545e-05
5.14168e-05,5.30609e-05
5.2801e-05,5.45042e-05
5.41954e-05,5.19472e-05
5.14014e-05,5.30766e-05
5.27858e-05,5.45195e-05
5.42118e-05,5.19397e-05
5.13859e-05,5.30922e-05
5.27706e-05,5.4535e-05
5.42282e-05,5.19321e-05
5.13703e-05,5.3108e-05
5.27552e-05,5.45505e-05
5.42447e-05,5.19244e-05
5.13547e-05,5.31238e-05
5.27399e-05,5.45661e-05
5.42612e-05,5.19166e-05
5.1339e-05,5.31397e-05
5.27244e-05,5.45817e-05
5.42778e-05,5.19088e-05
5.13232e-05,5.31556e-05
5.27089e-05,5.45974e-05
5.42945e-05,5.19008e-05
5.13074e-05,5.31716e-05
5.26932e-05,5.46132e-05
5.43112e-05,5.18927e-05
5.12914e-05,5.31876e-05
5.26775e-05,5.46291e-05
5.4328e-05,5.18845e-05
5.12755e-05,5.32038e-05
5.26618e-05,5.4645e-05
5.43448e-05,5.18762e-05
5.12594e-05,5.32199e-05
5.2646e-05,5.4661e-05
5.43617e-05,5.18679e-05
5.12433e-05,5.32362e-05
5.26301e-05,5.4677e-05
5.43787e-05,5.18594e-05
5.12272e-05,5.32525e-05
5.26141e-05,5.46931e-05
5.43957e-05,5.18509e-05
5.1211e-05,5.32688e-05
5.25981e-05,5.47093e-05
5.44128e-05,5.18423e-05
5.11947e-05,5.32852e-05
5.2582e-05,5.47255e-05
5.44299e-05,5.18336e-05
5.11783e-05,5.33017e-05
5.25658e-05,5.47418e-05
5.4447e-05,5.18248e-05
5.11619e-05,5.33182e-05
5.25496e-05,5.47582e-05
5.44643e-05,5.1816e-05
5.11455e-05,5.33347e-05
5.25333e-05,5.47746e-05
5.44815e-05,5.1807e-05
5.1129e-05,5.33513e-05
5.2517e-05,5.4791e-05
5.44989e-05,5.1798e-05
5.11124e-05,5.3368e-05
5.25005e-05,5.48075e-05
5.45162e-05,5.1789e-05
5.10958e-05,5.33847e-05
5.24841e-05,5.48241e-05
5.45337e-05,5.17798e-05
5.10791e-05,5.34015e-05
5.24675e-05,5.48407e-05
5.45511e-05,5.17706e-05
5.10624e-05,5.34183e-05
5.2451e-05,5.48574e-05
5.45687e-05,5.17613e-05
5.10456e-05,5.34351e-05
5.24343e-05,5.48741e-05
5.45862e-05,5.17519e-05
5.10287e-05,5.3452e-05
5.24176e-05,5.48909e-05
5.46038e-05,5.17425e-05
5.10118e-05,5.3469e-05
5.24009e-05,5.49077e-05
5.46215e-05,5.1733e-05
5.09949e-05,5.3486e-05
5.23841e-05,5.49245e-05
5.46392e-05,5.17235e-05
5.09779e-05,5.3503e-05
5.23672e-05,5.49414e-05
5.46569e-05,5.17139e-05
5.09609e-05,5.35201e-05
5.23503e-05,5.49584e-05
5.46747e-05,5.17042e-05
5.09438e-05,5.35372e-05
5.23334e-05,5.49754e-05
5.46926e-05,5.16945e-05
5.09267e-05,5.35543e-05
5.23164e-05,5.49924e-05
5.47104e-05,5.16847e-05
5.09095e-05,5.35715e-05
5.22993e-05,5.50095e-05
5.47284e-05,5.16748e-05
5.08923e-05,5.35888e-05
5.22822e-05,5.50267e-05
5.47463e-05,5.16649e-05
5.0875e-05,5.3606e-05
5.2265e-05,5.50438e-05
5.47643e-05,5.1655e-05
5.08577e-05,5.36234e-05
5.22478e-05,5.5061e-05
5.47824e-05,5.1645e-05
5.08404e-05,5.36407e-05
5.22306e-05,5.50783e-05
5.48004e-05,5.16349e-05
5.0823e-05,5.36581e-05
5.22133e-05,5.50956e-05
5.48185e-05,5.16248e-05
5.0805e-05,5.36761e-05
5.21953e-05,5.51134e-05
5.4838e-05,5.16139e-05
5.07869e-05,5.36941e-05
5.21772e-05,5.51315e-05
5.48575e-05,5.16029e-05
5.07687e-05,5.37122e-05
5.2159e-05,5.51496e-05
5.4877e-05,5.15918e-05
5.07505e-05,5.37303e-05
5.21407e-05,5.51677e-05
5.48965e-05,5.15807e-05
5.07322e-05,5.37485e-05
5.21224e-05,5.51859e-05
5.4916e-05,5.15695e-05
5.07138e-05,5.37667e-05
5.21041e-05,5.52041e-05
5.49356e-05,5.15583e-05
5.06955e-05,5.37849e-05
5.20857e-05,5.52223e-05
5.49552e-05,5.15471e-05
5.06771e-05,5.38031e-05
5.20673e-05,5.52406e-05
5.49748e-05,5.15358e-05
5.06587e-05,5.38214e-05
5.20489e-05,5.52589e-05
5.49944e-05,5.15245e-05
5.06402e-05,5.38396e-05
5.20304e-05,5.52772e-05
5.50141e-05,5.15132e-05
5.06218e-05,5.38579e-05
5.20119e-05,5.52955e-05
5.50337e-05,5.15018e-05
5.06032e-05,5.38763e-05
5.19933e-05,5.53139e-05
5.50534e-05,5.14903e-05
5.05847e-05,5.38946e-05
5.19748e-05,5.53323e-05
5.50731e-05,5.14789e-05
5.05661e-05,5.3913e-05
5.19562e-05,5.53507e-05
5.50928e-05,5.14674e-05
5.05475e-05,5.39314e-05
5.19375e-05,5.53691e-05
5.51125e-05,5.14558e-05
5.05289e-05,5.39498e-05
5.19189e-05,5.53875e-05
5.51323e-05,5.14443e-05
5.05102e-05,5.39682e-05
5.19002e-05,5.5406e-05
5.5152e-05,5.14326e-05
5.04916e-05,5.39867e-05
5.18815e-05,5.54245e-05
5.51718e-05,5.1421e-05
5.04728e-05,5.40052e-05
5.18627e-05,5.5443e-05
5.51916e-05,5.14093e-05
5.04541e-05,5.40237e-05
5.18439e-05,5.54616e-05
5.52114e-05,5.13976e-05
5.04353e-05,5.40422e-05
5.18251e-05,5.54801e-05
5.52312e-05,5.13859e-05
5.04165e-05,5.40607e-05
5.18063e-05,5.54987e-05
5.5251e-05,5.13741e-05
5.03977e-05,5.40793e-05
5.17874e-05,5.55173e-05
5.52709e-05,5.13623e-05
5.03789e-05,5.40978e-05
5.17686e-05,5.55359e-05
5.52907e-05,5.13505e-05
5.036e-05,5.41164e-05
5.17497e-05,5.55545e-05
5.53106e-05,5.13387e-05
5.03411e-05,5.4135e-05
5.17307e-05,5.55732e-05
5.53305e-05,5.13268e-05
5.03222e-05,5.41537e-05
5.17118e-05,5.55918e-05
5.53504e-05,5.13149e-05
5.03033e-05,5.41723e-05
5.16928e-05,5.56105e-05
5.53703e-05,5.13029e-05
5.02843e-05,5.4191e-05
5.16738e-05,5.56292e-05
5.53902e-05,5.1291e-05
5.02653e-05,5.42097e-05
5.16548e-05,5.5648e-05
5.54102e-05,5.1279e-05
5.02463e-05,5.42284e-05
5.16357e-05,5.56667e-05
5.54301e-05,5.1267e-05
5.02273e-05,5.42471e-05
5.16167e-05,5.56854e-05
5.54501e-05,5.1255e-05
5.02062e-05,5.42669e-05
5.15972e-05,5.57038e-05
5.547e-05,5.12429e-05
5.01852e-05,5.42865e-05
5.15777e-05,5.57221e-05
5.549e-05,5.12308e-05
5.01643e-05,5.43061e-05
5.1558e-05,5.57405e-05
5.551e-05,5.12187e-05
5.01434e-05,5.43257e-05
5.15383e-05,5.57589e-05
5.553e-05,5.12066e-05
5.01226e-05,5.43453e-05
5.15187e-05,5.57774e-05
5.55501e-05,5.11944e-05
5.01018e-05,5.43652e-05
5.14975e-05,5.57977e-05
5.55701e-05,5.11823e-05
5.00811e-05,5.43853e-05
5.14766e-05,5.58179e-05
5.55901e-05,5.11701e-05
5.00604e-05,5.44054e-05
5.14558e-05,5.58381e-05
5.56102e-05,5.11578e-05
5.00397e-05,5.44255e-05
5.14351e-05,5.58583e-05
5.56302e-05,5.11456e-05
5.00191e-05,5.44456e-05
5.14144e-05,5.58784e-05
5.56514e-05,5.11321e-05
4.99984e-05,5.44658e-05
5.13937e-05,5.58986e-05
5.56725e-05,5.11187e-05
4.99777e-05,5.44859e-05
5.13731e-05,5.59187e-05
5.56937e-05,5.11052e-05
4.9957e-05,5.4506e-05
5.13524e-05,5.59388e-05
5.57148e-05,5.10918e-05
4.99363e-05,5.45262e-05
5.13317e-05,5.5959e-05
5.5736e-05,5.10784e-05
4.99156e-05,5.45463e-05
5.1311e-05,5.59791e-05
5.57571e-05,5.10649e-05
4.9895e-05,5.45665e-05
5.12903e-05,5.59993e-05
5.57782e-05,5.10515e-05
4.98743e-05,5.45866e-05
5.12697e-05,5.60194e-05
5.57994e-05,5.1038e-05
4.98536e-05,5.46067e-05
5.1249e-05,5.60395e-05
5.58205e-05,5.10246e-05
4.98329e-05,5.46269e-05
5.12283e-05,5.60597e-05
5.58416e-05,5.10111e-05
4.98122e-05,5.4647e-05
5.12076e-05,5.60798e-05
5.58628e-05,5.09977e-05
4.97916e-05,5.46672e-05
5.11869e-05,5.61e-05
5.58839e-05,5.09843e-05
4.97709e-05,5.46873e-05
5.11662e-05,5.61201e-05
5.5905e-05,5.09708e-05
4.97502e-05,5.47074e-05
5.11456e-05,5.61403e-05
5.59262e-05,5.09574e-05
4.97295e-05,5.47276e-05
5.11249e-05,5.61604e-05
5.59473e-05,5.09439e-05
4.97088e-05,5.47477e-05
5.11042e-05,5.61805e-05
5.59684e-05,5.09305e-05
4.96882e-05,5.47679e-05
5.10835e-05,5.62007e-05
5.59896e-05,5.0917e-05
4.96675e-05,5.4788e-05
5.10628e-05,5.62208e-05
5.60107e-05,5.09036e-05
4.96468e-05,5.48081e-05
5.10422e-05,5.6241e-05
5.60319e-05,5.08902e-05
4.96261e-05,5.48283e-05
5.10215e-05,5.62611e-05
5.6053e-05,5.08767e-05
4.96054e-05,5.48484e-05
5.10008e-05,5.62812e-05
5.60741e-05,5.08633e-05
4.95848e-05,5.48686e-05
5.09801e-05,5.63014e-05
5.60953e-05,5.08498e-05
4.95641e-05,5.48887e-05
5.09594e-05,5.63215e-05
5.61164e-05,5.08364e-05
4.95434e-05,5.49088e-05
5.09388e-05,5.63417e-05
5.61375e-05,5.08229e-05
4.95227e-05,5.4929e-05
5.09181e-05,5.63618e-05
5.61587e-05,5.08095e-05
4.9502e-05,5.49491e-05
5.08974e-05,5.63819e-05
5.61798e-05,5.07961e-05
4.94813e-05,5.49693e-05
5.08767e-05,5.64021e-05
5.62009e-05,5.07826e-05
4.94607e-05,5.49894e-05
5.0856e-05,5.64222e-05
5.62221e-05,5.07692e-05
4.944e-05,5.50095e-05
5.08354e-05,5.64424e-05
5.62432e-05,5.07557e-05
4.94193e-05,5.50297e-05
5.08147e-05,5.64625e-05
5.62643e-05,5.07423e-05
4.93986e-05,5.50498e-05
5.0794e-05,5.64826e-05
5.62855e-05,5.07288e-05
4.93779e-05,5.507e-05
5.07733e-05,5.65028e-05
5.63066e-05,5.07154e-05
4.93573e-05,5.50901e-05
5.07526e-05,5.65229e-05
5.63277e-05,5.0702e-05
4.93366e-05,5.51102e-05
5.0732e-05,5.65431e-05
5.63489e-05,5.06885e-05
4.93159e-05,5.51304e-05
5.07113e-05,5.65632e-05
5.637e-05,5.06751e-05
4.92952e-05,5.51505e-05
5.06906e-05,5.65833e-05
5.63912e-05,5.06616e-05
4.92745e-05,5.51707e-05
5.06699e-05,5.66035e-05
5.64123e-05,5.06482e-05
4.92539e-05,5.51908e-05
5.06492e-05,5.66236e-05
